name,board,variant,LED,flash_size
Waveshare ESP32-S3-LCD-1.46,waveshare_esp32_s3_lcd_146,waveshare_esp32_s3_lcd_146,N/A,[16MB]
Waveshare ESP32-S3-LCD-1.47,waveshare_esp32_s3_lcd_147,waveshare_esp32_s3_lcd_147,N/A,[16MB]
Waveshare ESP32-S3-LCD-1.69,waveshare_esp32_s3_lcd_169,waveshare_esp32_s3_lcd_169,N/A,[16MB]
Waveshare ESP32-S3-LCD-1.85,waveshare_esp32_s3_lcd_185,waveshare_esp32_s3_lcd_185,N/A,[16MB]
Waveshare ESP32-S3-Relay-6CH,waveshare_esp32_s3_relay_6ch,waveshare_esp32_s3_relay_6ch,N/A,[8MB]
Waveshare ESP32-S3-Touch-AMOLED-1.43,waveshare_esp32_s3_touch_amoled_143,waveshare_esp32_s3_touch_amoled_143,N/A,[16MB]
Waveshare ESP32-S3-Touch-AMOLED-1.64,waveshare_esp32_s3_touch_amoled_164,waveshare_esp32_s3_touch_amoled_164,N/A,[16MB]
Waveshare ESP32-S3-Touch-AMOLED-1.8,waveshare_esp32_s3_touch_amoled_18,waveshare_esp32_s3_touch_amoled_18,N/A,[16MB]
Waveshare ESP32-S3-Touch-AMOLED-1.91,waveshare_esp32_s3_touch_amoled_191,waveshare_esp32_s3_touch_amoled_191,N/A,[16MB]
Waveshare ESP32-S3-Touch-AMOLED-2.41,waveshare_esp32_s3_touch_amoled_241,waveshare_esp32_s3_touch_amoled_241,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-1.46,waveshare_esp32_s3_touch_lcd_146,waveshare_esp32_s3_touch_lcd_146,N/A,[16MB]
